,Date,Percent Illumination,Total Crimes,City
806,2017-03-17,81.0,206,
807,2017-03-18,73.0,186,
808,2017-03-19,64.0,156,
809,2017-03-20,54.0,189,
810,2017-03-21,45.0,186,
811,2017-03-22,35.0,177,
812,2017-03-23,26.0,190,
813,2017-03-24,18.0,198,
814,2017-03-25,10.0,168,
815,2017-03-26,5.0,173,
816,2017-03-27,1.0,207,
817,2017-03-28,0.0,185,
818,2017-03-29,2.0,194,
819,2017-03-30,6.0,207,
820,2017-03-31,13.0,186,
821,2017-04-01,22.0,203,
822,2017-04-02,33.0,182,
823,2017-04-03,44.0,189,
824,2017-04-04,55.0,145,
825,2017-04-05,66.0,180,
826,2017-04-06,76.0,189,
827,2017-04-07,84.0,241,
828,2017-04-08,91.0,198,
829,2017-04-09,96.0,179,
830,2017-04-10,99.0,157,
831,2017-04-11,100.0,171,
832,2017-04-12,99.0,156,
833,2017-04-13,96.0,188,
834,2017-04-14,92.0,212,
835,2017-04-15,86.0,197,
836,2017-04-16,79.0,171,
837,2017-04-17,71.0,204,
838,2017-04-18,62.0,187,
839,2017-04-19,52.0,220,
840,2017-04-20,42.0,170,
841,2017-04-21,32.0,203,
842,2017-04-22,23.0,169,
843,2017-04-23,14.0,172,
844,2017-04-24,7.0,213,
845,2017-04-25,3.0,200,
846,2017-04-26,0.0,201,
847,2017-04-27,1.0,183,
848,2017-04-28,5.0,199,
849,2017-04-29,11.0,149,
850,2017-04-30,19.0,183,
851,2017-05-01,29.0,201,
852,2017-05-02,40.0,190,
853,2017-05-03,51.0,166,
854,2017-05-04,62.0,185,
855,2017-05-05,72.0,210,
856,2017-05-06,80.0,198,
857,2017-05-07,88.0,173,
858,2017-05-08,93.0,187,
859,2017-05-09,97.0,185,
860,2017-05-10,99.0,180,
861,2017-05-11,100.0,203,
862,2017-05-12,98.0,221,
863,2017-05-13,95.0,201,
864,2017-05-14,90.0,171,
865,2017-05-15,84.0,202,
866,2017-05-16,77.0,191,
